sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
N#CC=1C=C(C=CC1F)N(C#N)CCCCCF,Z2040822276,249.26,249.26,2.726,-3.728,0,3,50.82,6
N#CC=1C=CC(=CC1)N(C(=O)C2CCN(CC2)S(=O)(=O)C=CC=3C=CC=CC3)C4CC4,Z1533897127,435.541,435.541,2.815,-5.09,0,4,81.48,7
N#CC(=CC=1C=NN(C1)CCCl)C(=O)NC2CCCCC2,Z1082248254,306.791,306.791,1.964,-3.026,1,3,70.71,6
N#CC(=CC1=NC=CN1CC(F)(F)F)C(=O)NC2=CC=CC=C2Br,Z1082250144,399.166,399.166,1.366,-4.424,1,3,70.71,6
CCCCN1C(=O)NC(=O)C(=C1N)N(CC=2C=CC=CC2OC)C(=O)C=3C=C(Cl)N=C4C=CC=CC34,Z49515846,507.969,507.969,4.104,-7.86,2,6,117.86,9
CC=1C=CC(F)=C(C1)N(C#N)CCCO,Z2736237308,208.233,208.233,1.984,-2.57,1,3,47.26,4
CCOC(=O)CN(C#N)C=1C=CC(=CC1)OC,Z1955192688,234.252,234.252,1.923,-2.351,0,4,62.56,6
C=CC(=O)NC=1C=C(C=CC1F)NC(=O)CCC(=O)C=2C=C(C)SC2C,Z1362199141,374.431,374.431,2.65,-5.252,2,3,75.27,9
O=S(=O)(C=CC=1C=CC=CC1)N(CC=2C=CC=3OCOC3C2)C4CCCC4,Z53051029,385.479,385.479,4.711,-5.41,0,4,55.84,6
CC(C)CN(C(=O)COC(=O)C=1C=CC=NC1Cl)C=2C(=O)NC(=O)N(CC=3C=CC=CC3)C2N,Z54185429,485.921,485.921,1.631,-6.395,2,6,134.93,10
O=CC1=NC=2C=CC=CC2N1CCOC=3C=CC=CC3,Z1540085897,266.295,266.295,3.249,-2.78,0,3,44.12,5
O=CC1=NC=2C=CC=CC2N1CC=3C=CC=4C=CC=CC4C3,Z1540086409,286.328,286.328,4.174,-4.44,0,2,34.89,3
C=CC(=O)NCC=1C=CC(=CC1)C(=O)N2CCN(CC2)C3=CC=CC=C3Cl,Z786218114,383.872,383.872,2.691,-5.37,1,3,52.65,7
CCCN(CC=1C=CC=CC1)C(=O)CCNS(=O)(=O)C=CC=2C=CC=CC2,Z68996202,386.51,386.51,4.038,-4.479,1,3,66.48,11
N#CC(=CC=1C=CC=2OCOC2C1)C(=O)NC=3C=CC(=CC3)S(=O)(=O)NC=4N=CC=CN4,Z56354371,449.441,449.441,2.108,-5.79,2,8,143.3,7
CC(NC(=O)C(C#N)=CC=1C=CC=CC1)C23CC4CC(CC(C4)C3)C2,Z56591627,334.456,334.456,5.853,-6.1,1,2,52.89,5
N#CC(=CC=1C=CC=2OCOC2C1)C(=O)N3CCN(CC3)C(=O)C4=CC=CO4,Z56590693,379.367,379.367,1.767,-5,0,5,96.01,5
COC=1C=CC(=CC1OC)C2N(C(=O)C2(F)F)C=3C=CC=4OCCOC4C3,Z56780536,377.34,377.34,4.269,-5.17,0,5,57.23,4
N#CC(=CC=1C=CC(=CC1)OC(F)F)C(=O)NC=2C=CC(Br)=CN2,Z56781196,394.171,394.171,3.661,-5.27,1,4,75.01,6
O=C1N(C=2C=CC=3OCCOC3C2)C(C=4C=CC=CC4)C1(F)F,Z2734828571,317.288,317.288,4.611,-5.2,0,3,38.77,2
N#CC(=CC=1C=CC(Cl)=CC1)C(=O)NC2=NC=3CN(CC=4C=CC=CC4)CCC3S2,Z56798471,434.943,434.943,4.823,-6.27,1,4,69.02,6
CC(C)(C)C=1C=CC(=CC1)C2=NN(C=C2C=O)CCC#N,Z56787625,281.353,281.353,3.514,-3.68,0,3,58.68,5
