stereo_smiles,LUMO_eV
O=C1CC[C@H](N2Cc3cc(-c4cnn5ccc(Cl)nc45)ccc3C2=O)C(=O)N1,-8.161437981
O=C1CC[C@@H](N2Cc3cc(-c4cnn5ccc(Cl)nc45)ccc3C2=O)C(=O)N1,-8.240481943
O=C1CC[C@H](N2Cc3cc(-c4ccn5ncc(Cl)c5n4)ccc3C2=O)C(=O)N1,-8.237765549
O=C1CC[C@@H](N2Cc3cc(-c4ccn5ncc(Cl)c5n4)ccc3C2=O)C(=O)N1,-8.16163965
O=C1CC[C@H](c2ccc(NC(=O)Cc3cc4cc(Cl)ccc4[nH]3)cc2)C(=O)N1,-7.724381067
O=C1CC[C@@H](c2ccc(NC(=O)Cc3cc4cc(Cl)ccc4[nH]3)cc2)C(=O)N1,-7.730659108
O=C1CC[C@H](NC(=O)c2cc(Br)c3c(c2)C(=O)NCCO3)C(=O)N1,-8.026488717
CN(c1ncnn2c(C#N)ccc12)[C@@H]1CCC(=O)NC1=O,-8.069089955
O=C1CC[C@@H](NC(=O)c2cc(Br)c3c(c2)C(=O)NCCO3)C(=O)N1,-8.024725705
COc1cn(-c2cccc(C(F)(F)F)c2)nc1C(=O)N[C@@H]1CCC(=O)NC1=O,-7.982648989
COc1cn(-c2cccc(C(F)(F)F)c2)nc1C(=O)N[C@H]1CCC(=O)NC1=O,-7.998424955
O=C1CC[C@H](N2C(=O)c3ccc(NC(=O)c4ncccc4F)cc3C2=O)C(=O)N1,-8.719035663
O=C1CC[C@@H](N2C(=O)c3ccc(NC(=O)c4ncccc4F)cc3C2=O)C(=O)N1,-8.718994786
O=C1CC[C@H](NC(=O)c2ccc(F)c(S(=O)(=O)Cc3ncon3)c2)C(=O)N1,-8.192070335
O=C1CC[C@@H](NC(=O)c2ccc(F)c(S(=O)(=O)Cc3ncon3)c2)C(=O)N1,-8.312164144
O=C1CC[C@H](N2C(=O)c3ccc(OCc4nc(C5CC5)no4)cc3C2=O)C(=O)N1,-7.952104901
