batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
32,8,0.0001,42,-2.8959852790792473,0.7633984909961893,0.6950325686001905,-6.421047504876077,1.053598756468348,0.9072405343646747,-3.4241820738060182,0.8135029635524177,0.7360612176709945
32,8,0.0001,21,-4.180293892244784,0.8802779899678661,0.7938637793008291,-5.04519998782018,0.9509287544846393,0.7987446359199097,-3.5584125316593935,0.8257516619435193,0.7482572792844031
32,8,0.0001,0,-4.342897966617888,0.8939867535834286,0.8255959578391131,-9.100144630807339,1.2291543994022718,1.0492397727275542,-3.1644922146452767,0.7892665018103947,0.7198531074595385
32,64,0.001,42,0.5887119279500777,0.24803656072618965,0.18872506477815673,0.693441455039836,0.214140768327341,0.15567137976940296,0.6164062486755238,0.2395401987265463,0.1857928410940084
32,64,0.001,21,0.6188162240507923,0.23878654260525614,0.1841257883167773,0.26492997213312686,0.3315942575863559,0.21575391363286242,0.6221730173600756,0.23773281261068085,0.18075470800813645
32,64,0.001,0,0.6222876140809945,0.23769675713011904,0.1813154318836604,-0.24875018201116372,0.43219568418663246,0.2821407285363385,0.6968544591940423,0.21294538660513462,0.16261114227075782
32,64,0.0005,42,0.6031831441134222,0.24363388996083649,0.18469051863676006,-0.8986762839183648,0.532927469578928,0.38111902466796915,0.6188996218572731,0.23876041955846225,0.18336178800146394
32,64,0.0005,21,0.5880322207311106,0.24824143251153055,0.18924457327931737,-0.5290212418484783,0.4782438599765907,0.3234200779810348,0.6389433862816462,0.23239688141548687,0.17966099243926287
32,64,0.0005,0,0.5974455249797356,0.2453889334174395,0.18629846370409997,-1.5959987396272317,0.6231532755125779,0.41812113847652155,0.634505137127158,0.23382087540305277,0.17713370741511597
32,64,0.0001,42,0.42480491317370817,0.2933257754099236,0.2172726964042442,-0.6220314542818568,0.4925749017713259,0.3352735885932153,0.5185735965638647,0.26835370523383933,0.1988049915646003
32,64,0.0001,21,0.5154978457860646,0.26920957332585366,0.19923157220031185,-0.6196495323865667,0.49221310052821265,0.32807997915843784,0.5631504113567933,0.2556281100118965,0.19407524989613734
32,64,0.0001,0,0.48085611095352787,0.2786676252439024,0.2064343277380089,-0.7260582693396593,0.508124774184936,0.32205286049820503,0.5334898944915444,0.26416371980363906,0.1952557941916731
128,32,0.001,42,0.2035538501290164,0.34516031138504116,0.2594852371585023,-2.198690936485707,0.691717532218641,0.5022268460536056,0.5661676409158314,0.25474379523670215,0.1869494506354783
128,32,0.001,21,0.4508572282023754,0.2866060008632917,0.20942191991290934,-1.171811220593037,0.5699722079232693,0.3741484730458803,0.4325037849946448,0.2913561087292808,0.2177222078009542
128,32,0.001,0,0.3565599298013252,0.31023921659273346,0.22591447993959443,-0.026018152544503792,0.39176006743787856,0.255413994802522,0.545672799075273,0.26069158531563674,0.1926303151023786
128,32,0.0005,42,0.1457525429958999,0.3574657943927736,0.26454763475001847,-0.7679309565641579,0.5142511762476313,0.3358864490962795,0.276372479558584,0.32900324476140813,0.24846062748051792
128,32,0.0005,21,0.24637370751436194,0.33575358951963147,0.2507922842172842,-1.825500117241588,0.6501151823201788,0.4537682656827957,0.4252436319052625,0.2932138898402297,0.21811801569185665
128,32,0.0005,0,0.24801741478800066,0.3353872395971852,0.24885536870322225,-0.5543055547030011,0.4821818324230178,0.3087395121073894,0.3318948271856472,0.3161295263817846,0.24267132967812843
128,32,0.0001,42,-0.1058182359809996,0.40670968773162014,0.29516093938603016,-3.0170525035565907,0.7751690020841654,0.5751534237773799,0.2267673170397454,0.3400930404532252,0.2519199439521287
128,32,0.0001,21,0.08550570383098222,0.3698564050433063,0.2689435444062775,-2.386025098988227,0.7116848650027906,0.5162677976290881,0.04079961402233656,0.3787889627700692,0.27461553490835544
128,32,0.0001,0,0.0815961417566452,0.3706461499592727,0.272976282496695,-3.8346155469986405,0.8504007130802529,0.6281254164993186,0.1664065035109228,0.35311795635785553,0.25576831458547583
128,16,0.001,42,-0.5385796471433548,0.47973635945075865,0.39049587910747735,-0.8458139598574079,0.5254563039076141,0.37272846062333,-0.2945720598341435,0.4400537824906571,0.3541970517982962
128,16,0.001,21,-0.14162044488967118,0.41324110334712677,0.3331280969434554,-1.6027385658936764,0.6239616777415288,0.4283539818630641,-0.4620551641891699,0.46765385971780354,0.3791952459208488
128,16,0.001,0,-0.8194609387739196,0.5216918014477359,0.434642027587843,-1.6276758353079082,0.6269436920810945,0.4142590880654508,-0.3893925498169344,0.4558848148174965,0.37885601104440964
128,16,0.0005,42,-0.41965053100696137,0.46082217367086753,0.3626983686048762,-6.108352438050078,1.0311625212251314,0.8555354064157744,-0.5603325954888589,0.4831157922154419,0.4013851435527629
