sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCC=1ON=C(C1C(=O)NC2CCC(=O)NC2=O)C3CCCOC3,Z9213951725,335.356,335.356,-1.347,-1.997,2,5,110.53,4,https://real.enamine.net/public-enum-files/Z9213951725
Cl.CC=1SC(=NC1C(=O)NC2CCC(=O)NC2=O)C3CCNCC3,Z9302774466,372.872,336.411,0.023,-2.09,3,5,100.19,3,https://real.enamine.net/public-enum-files/Z9302774466
CC=1C=NC2=C(Br)C(=NN2C1)C(=O)NC3CCC(=O)NC3=O,Z9219074190,366.17,366.17,-0.531,-3.07,2,5,105.46,2,https://real.enamine.net/public-enum-files/Z9219074190
CC(C)(CF)C1=NC=C(O1)C(=O)NC2CCC(=O)NC2=O,Z9219494610,297.283,297.283,-0.5,-1.645,2,4,101.3,4,https://real.enamine.net/public-enum-files/Z9219494610
CN1N=C(C(=O)NC2CCC(=O)NC2=O)C3=C1CCCC3O,Z9219612462,306.318,306.318,-1.547,-1.046,3,5,113.32,2,https://real.enamine.net/public-enum-files/Z9219612462
CN1N=C(C(=O)NC2CCC(=O)NC2=O)C=3N=CC=CC31,Z9220236898,287.275,287.275,-0.686,-1.142,2,5,105.98,2,https://real.enamine.net/public-enum-files/Z9220236898
CC(C)OC1=CC(=NN1C)C(=O)NC2CCC(=O)NC2=O,Z9220374101,294.307,294.307,-0.513,-1.834,2,5,102.32,4,https://real.enamine.net/public-enum-files/Z9220374101
CN1N=C(C(=C1C(=O)NC2CCC(=O)NC2=O)C(F)(F)F)C(F)(F)C(F)(F)F,Z9275341125,422.231,422.231,-0.2,-3.725,2,4,93.09,5,https://real.enamine.net/public-enum-files/Z9275341125
O=C(NC1CCC(=O)NC1=O)C2=CC(=CS2)OCC=3C=CC(Cl)=CC3,Z9275342068,378.831,378.831,2.653,-4.689,2,4,84.5,5,https://real.enamine.net/public-enum-files/Z9275342068
COC=1C=CC(Cl)=C(C1)C2=CC(=NN2C)C(=O)NC3CCC(=O)NC3=O,Z9275344489,376.795,376.795,1.372,-3.667,2,5,102.32,4,https://real.enamine.net/public-enum-files/Z9275344489
O=C(NC1CCC(=O)NC1=O)C2=NNC=3C=C(F)C(Br)=CC23,Z9275344520,369.146,369.146,1.666,-4.226,3,4,103.95,2,https://real.enamine.net/public-enum-files/Z9275344520
CC1CN2N=C(C=C2C(=O)N1)C(=O)NC3CCC(=O)NC3=O,Z9275345074,305.29,305.29,-1.949,-1.658,3,5,122.19,2,https://real.enamine.net/public-enum-files/Z9275345074
COC=1C=CC(=CC1)C2=NNC(C(=O)NC3CCC(=O)NC3=O)=C2Br,Z9275349367,407.219,407.219,1.308,-4.38,3,5,113.18,4,https://real.enamine.net/public-enum-files/Z9275349367
CC(=O)NC=1NN=C(C(=O)NC2CCC(=O)NC2=O)C1Br,Z9275353412,358.148,358.148,-2.404,-2.889,4,5,133.05,3,https://real.enamine.net/public-enum-files/Z9275353412
O=C(NC1CCC(=O)NC1=O)C=2N=CSC2C=3C=CC=CC3Br,Z9275356043,394.244,394.244,1.869,-4.853,2,4,88.16,3,https://real.enamine.net/public-enum-files/Z9275356043
