"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N1CCOC(C)(C(F)F)C1",205.091435096,"Covalent"
"C=CC(=O)NCc1cnccc1C(F)(F)F",230.066697568,"Covalent"
"C=CC(=O)NCC1(C)OCCc2sccc21",237.08234972,"Covalent"
"C=CC(=O)N1CC(=O)N(C)C1c1ccccc1",230.105527688,"Covalent"
"C=CC(=O)N1CCN2CCS(=O)(=O)CC2C1",244.088163372,"Covalent"
"C=CC(=O)NC[C@]12OCCC[C@H]1C2(F)F",217.091435096,"Covalent"
"C=CC(=O)N[C@H]1[C@@H]2COC[C@@H]21",153.078978592,"Covalent"
"C=CC(=O)N1CCC2(COC2)C1",167.094628656,"Covalent"
"C=CC(=O)N1Cc2cccnc2C1",174.07931294,"Covalent"
"C=CC(=O)NCc1ccc[nH]c1=O",178.07422756,"Covalent"
"C=CC(=O)Nc1ccc(OC)nn1",179.069476528,"Covalent"
"C=CC(=O)NCc1cnnn1CC",180.101111004,"Covalent"
"C=CC(=O)N1CC2COCC(C1)O2",183.089543276,"Covalent"
"C=CC(=O)N(C)CC1COCCO1",185.10519334,"Covalent"
"C=CC(=O)N1Cc2ccccc2[C@H]1C",187.099714036,"Covalent"
"C=CC(=O)N1CC(c2ccccc2)C1",187.099714036,"Covalent"
"C=CC(=O)Nc1cccc2c1OCC2",189.078978592,"Covalent"
"C=CC(=O)Nc1nccc(C2CC2)n1",189.090211972,"Covalent"
"C=CC(=O)N1CCc2ccn(C)c2C1",190.110613068,"Covalent"
"C=CC(=O)N(C)Cc1ccnn1CC",193.1215121,"Covalent"
"C=CC(=O)N[C@@H](C)C1CCCC(C)C1",195.162314292,"Covalent"
"C=CC(=O)NC1CC(=O)N(CCC)C1",196.121177752,"Covalent"
"C=CC(=O)NC(C)(C)C1CCOCC1",197.141578848,"Covalent"
"C=CC(=O)NCCN1CCOCC1=O",198.100442308,"Covalent"
"C=CC(=O)Nc1ccc2c(C)noc2c1",202.07422756,"Covalent"
"C=CC(=O)Nc1ccc2nc(C)nn2c1",202.08546094,"Covalent"
"C=CC(=O)NCc1c(C2CC2)cnn1C",205.1215121,"Covalent"
"C=CC(=O)N1CCC(CC(F)(F)F)C1",207.087098664,"Covalent"
"C=CC(=O)N1CC(Oc2nccs2)C1",210.04629856,"Covalent"
"C=CC(=O)NCc1ccc2cccnc2c1",212.094963004,"Covalent"
"C=CC(=O)Nc1nnc(C)c2ccccc12",213.090211972,"Covalent"
"C=CC(=O)NC12CC(c3ccccc3)(C1)C2",213.1153641,"Covalent"
"C=CC(=O)Nc1nc2ccccc2c(=O)[nH]1",215.069476528,"Covalent"
"C=CC(=O)NC1Cc2ccccc2NC1=O",216.089877624,"Covalent"
"C=CC(=O)NCCc1nc2ccccc2o1",216.089877624,"Covalent"
"C=CC(=O)N1CCCC(c2cccnc2)C1",216.126263132,"Covalent"
"C=CC(=O)NC1COc2c(C)cccc2C1",217.11027872,"Covalent"
"C=CC(=O)N1CCS(=O)(=O)CCC1C",217.07726434,"Covalent"
"C=CC(=O)NCc1cc(C2CC2)ccc1F",219.105942288,"Covalent"
"C=CC(=O)N1CCCCC1c1ccnn1C",219.137162164,"Covalent"
"C=CC(=O)N[C@@H]1CCc2cc(Cl)ccc21",221.060741684,"Covalent"
"C=CC(=O)N1CCC(c2cscn2)CC1",222.082684068,"Covalent"
"C=CC(=O)N1CCC[C@H]1CN1CCOCC1",224.15247788,"Covalent"
"C=CC(=O)N1CCC(CC(C)C(=O)O)CC1",225.136493468,"Covalent"
"C=CC(=O)N1CCC2(Cc3ccccc3C2)C1",227.131014164,"Covalent"
"C=CC(=O)Nc1cc(OC)c2ncccc2c1",228.089877624,"Covalent"
"C=CC(=O)Nc1cccc2c(=O)n(C)ccc12",228.089877624,"Covalent"
"C=CC(=O)Nc1ccc2nnc(C3CC3)n2c1",228.101111004,"Covalent"
"C=CC(=O)NC1C(=O)N(C)Cc2ccccc21",230.105527688,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)CCN(C)C2=O",230.105527688,"Covalent"
"C=CC(=O)N1CCC(c2ccc(C)nc2)CC1",230.141913196,"Covalent"
