smiles,cov_label,crbn_chemspace,source,cov_crbn_label
O=C1CCC(N2Cc3cc(-c4cccc(C(F)(F)F)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cc(C(F)(F)F)ccn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc(C(F)(F)F)nc4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cncc(C(F)(F)F)c4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ncc(C(F)(F)F)cn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5c(c4)C(=O)OCC5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC1(C)COc2ccc(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc21,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5c(c4)NC(=O)OC5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cc(NCC5CC5)ncn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CN(C)C(=O)c1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
COC(=O)c1cnc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1C,0.0,1,open_database,0
CC(C)(C)Oc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CC(C)CNc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CC(C)COc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CNc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc(COC)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cccc(-c5ncccn5)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)O)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NC4CC4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CCC4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CCCNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NCCF)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
C#CCCNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC#CCNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC1(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CC1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CCCC4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CN(C(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C1CC1,0.0,1,open_database,0
CC1CN(C(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)C1,0.0,1,open_database,0
CC1CC1NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CCCO4)cccc3C2=O)C(=O)N1,1.0,1,open_database,1
CC(C)CNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CC(F)C4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC(CF)NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NCCCF)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC1CCCN1C(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CCCCN4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC(C)(C)CNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC(NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)O,0.0,1,open_database,0
CN(C)C1CN(C(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)C1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NC4(C(=O)O)CC4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC(C)(CN)CNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC(C)(N)CCNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC(CNC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)O,0.0,1,open_database,0
CC(CC(=O)O)NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CCC(NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)O,0.0,1,open_database,0
Nc1cccc(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
Nc1ccc(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc1,0.0,1,open_database,0
Nc1cccc(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CC1(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CCCNC1,0.0,1,open_database,0
CC1(CNC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CCNC1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NCCC4CCCN4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NCC4CCCCN4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
NCC1(NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CCCC1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)N4CCCC4C(=O)O)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3c(C(=O)NCC4(C(=O)O)CC4)cccc3C2=O)C(=O)N1,0.0,1,open_database,0
