smiles,cov_crbn_label
CC=C(C)C(=O)NCC=CCNC(=O)c1ccc2c(c1)C(=O)NC2=O,1
CN1C(=O)c2cccc(NC(=O)CCl)c2C1=O,1
COC(=O)c1ncn(C2CCC(=O)NC2=O)c1N,0
N#CN1CCCC(c2[nH]cnc2C(=O)Nc2ccc(C3CCC(=O)NC3=O)cc2)C1,1
N#CN1CCC(c2cc(-c3cc(NC4CCC(=O)NC4=O)ncn3)cs2)C1,1
O=C1CCC(N2Cc3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3C2=O)C(=O)N1,0
NCc1ccc(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0
O=C1CCC(N2Cc3cc(C(=O)Nc4ccccc4S(=O)(=O)F)ccc3C2=O)C(=O)N1,1
Nc1ccc(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0
O=C1CCC(N2Cc3cc(C(=O)Nc4cccc(S(=O)(=O)F)c4)ccc3C2=O)C(=O)N1,1
CC(Cc1ccccc1)C(=O)Nc1cccc(C2CC(=O)NC(=O)C2)c1,0
NCc1cn(C2CC(C(=O)Nc3ccc(C4CCC(=O)NC4=O)cc3)C2)nn1,0
N#CN1CCC(c2ccccc2-c2cnc(C(=O)NC3CCC(=O)NC3=O)nc2)CC1,1
N#CN1CCCC(c2cc(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)n[nH]2)C1,1
O=C1CCC(c2ccc(NC(=O)CC3CNC4(CCOCC4)C3)cc2)C(=O)N1,0
O=C1CCC(NC(=O)c2sccc2-c2ccccc2)C(=O)N1,0
N#CN1CCC(c2cc(-c3cccc(C(=O)NC4CCC(=O)NC4=O)c3)n[nH]2)CC1,1
O=C1CCC(c2ccc(NC(=O)C3CCCc4cccc(S(=O)(=O)F)c43)cc2)C(=O)N1,1
O=C1CCC(c2ccc(NC(=O)C3CCCc4c3cccc4S(=O)(=O)F)cc2)C(=O)N1,1
O=C1CCC(c2ccc(NC(=O)C3CCCc4ccc(S(=O)(=O)F)cc43)cc2)C(=O)N1,1
N#Cc1ccc2c(c1)CCCC2C(=O)Nc1ccc(C2CCC(=O)NC2=O)cc1,0
CC1CC2CN(c3ccnc4c3CNC4=O)CCN2C1,0
O=C1CCC(NC(=O)c2cnoc2Cc2ccccc2)C(=O)N1,0
