batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
128,16,0.001,21,0.9700557103064067,0.9334844597999736,0.9881615598885793,0.9736037724034666,0.9867688022284122,0.9704981920299973
128,16,0.001,0,0.9620637329286799,0.9204503013796057,0.9817905918057663,0.9622114240212024,0.9704097116843703,0.938377509644484
128,16,0.0005,42,0.381169324221716,0.0,0.9817767653758542,0.9613745492960651,0.982536066818527,0.9631672821154953
128,16,0.0005,21,0.9596100278551533,0.9096619835084124,0.9895543175487466,0.9767093527769358,0.9644846796657381,0.9217519041906108
128,16,0.0005,0,0.6965098634294385,0.5100661815958296,0.9643399089529591,0.9257220764986586,0.9711684370257967,0.9397863059125181
128,16,0.0001,42,0.45861807137433563,0.02446235487474531,0.9757023538344722,0.9484166006785635,0.381169324221716,0.0
128,16,0.0001,21,0.33913649025069637,0.0,0.9811977715877437,0.9583344506092824,0.33913649025069637,0.0
128,16,0.0001,0,0.3945371775417299,0.0,0.9643399089529591,0.9257220764986586,0.3945371775417299,0.0
128,32,0.001,42,0.9673500379650721,0.9308811037876894,0.9931662870159453,0.9855101185129244,0.9893697798025817,0.9774526088434426
128,32,0.001,21,0.9700557103064067,0.9331644499927371,0.9881615598885793,0.9736394903759708,0.9860724233983287,0.9690634633174047
128,32,0.001,0,0.9764795144157815,0.9508919545645895,0.9871016691957512,0.973012483740839,0.9764795144157815,0.9507328303265148
128,32,0.0005,42,0.9665907365223994,0.929181433774106,0.9939255884586181,0.9871639643524424,0.9810174639331815,0.9598129724035422
128,32,0.0005,21,0.9616991643454039,0.9154347194105351,0.9888579387186629,0.9752113213876857,0.9770194986072424,0.9487591294157125
128,32,0.0005,0,0.960546282245827,0.9172583297716178,0.9810318664643399,0.9603118830558071,0.9734446130500759,0.944704424466492
128,32,0.0001,42,0.381169324221716,0.0,0.9840546697038725,0.9662101351035809,0.381169324221716,0.0
128,32,0.0001,21,0.33913649025069637,0.0,0.9825905292479109,0.9611690926795299,0.967966573816156,0.9287898218586661
128,32,0.0001,0,0.7534142640364189,0.5633621994710346,0.9719271623672231,0.9413549478458919,0.7283763277693475,0.4885457730970856
128,64,0.001,42,0.9757023538344722,0.9488138212313348,0.9939255884586181,0.9871639643524424,0.9939255884586181,0.9871238970498375
128,64,0.001,21,0.967966573816156,0.9287898218586661,0.9944289693593314,0.9876152767331379,0.9777158774373259,0.9501530872818459
128,64,0.001,0,0.9779969650986343,0.9540899835934398,0.988619119878604,0.9761655652775209,0.9719271623672231,0.941250627471766
128,64,0.0005,42,0.9726651480637813,0.9419873261596038,0.9946848899012908,0.9887389976569823,0.9886104783599089,0.9758427644221402
128,64,0.0005,21,0.9686629526462396,0.9302918063639475,0.9895543175487466,0.9768955347049213,0.979108635097493,0.9532751494780544
128,64,0.0005,0,0.9764795144157815,0.9508373630892949,0.9840667678300455,0.966848207908958,0.9711684370257967,0.9400281608387084
128,64,0.0001,42,0.6302201974183751,0.18249782605349207,0.9908883826879271,0.9806858455747562,0.9567198177676538,0.9091865116153529
128,64,0.0001,21,0.9568245125348189,0.9052440880218972,0.9881615598885793,0.9735603489207348,0.9672701949860725,0.9271018344951354
