molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
6580,ligand_6580.sdf,-11.26426664,-8.241705678,3.022560962,-45458.30134,8
6581,ligand_6581.sdf,-11.08425649,-8.02372521,3.060531284,-45458.1303,5
6582,ligand_6582.sdf,-11.14898515,-8.330467304,2.818517847,-45458.83168,10
6583,ligand_6583.sdf,-11.10316672,-8.193321434,2.909845289,-45458.93432,9
6584,ligand_6584.sdf,-11.17132836,-8.045310033,3.126018327,-45458.84192,7
6585,ligand_6585.sdf,-11.05970378,-7.955319844,3.104383934,-45458.16198,7
6586,ligand_6586.sdf,-11.14804615,-8.330427781,2.817618368,-45458.83172,8
6587,ligand_6587.sdf,-11.41320824,-8.758649154,2.654559082,-36102.72419,16
6588,ligand_6588.sdf,-11.39388675,-8.739938306,2.653948448,-36102.76752,16
6589,ligand_6589.sdf,-10.8003149,-7.926831643,2.873483254,-35559.86089,4
659,ligand_659.sdf,-10.03202718,-8.287891313,1.744135865,-25675.18456,8
6590,ligand_6590.sdf,-10.80018133,-7.926714659,2.873466674,-35559.86085,4
6591,ligand_6591.sdf,-10.80445645,-7.935617457,2.868838997,-35559.84724,12
6592,ligand_6592.sdf,-10.80426988,-7.934956156,2.86931372,-35559.84666,11
6593,ligand_6593.sdf,-11.30887986,-8.145614051,3.163265809,-44618.01015,4
6594,ligand_6594.sdf,-11.32038695,-8.09857891,3.221808036,-44618.09274,4
6595,ligand_6595.sdf,-11.32076184,-8.098283881,3.222477961,-44618.09091,4
6596,ligand_6596.sdf,-11.30947387,-8.145821127,3.163652743,-44618.01034,4
6597,ligand_6597.sdf,-11.18558332,-8.195360817,2.990222506,-44618.08336,4
6598,ligand_6598.sdf,-11.33744394,-8.253358842,3.084085097,-44617.99477,11
6599,ligand_6599.sdf,-11.20696785,-8.11558344,3.091384414,-44618.03562,3
66,ligand_66.sdf,-10.48042379,-7.514356314,2.966067478,-19714.53652,2
660,ligand_660.sdf,-10.45208157,-7.508651013,2.943430558,-24937.93078,10
6600,ligand_6600.sdf,-11.37595397,-8.219701908,3.15625206,-44617.86708,9
6601,ligand_6601.sdf,-11.32613438,-8.261250744,3.06488364,-44617.72414,12
6602,ligand_6602.sdf,-11.37557083,-8.219046545,3.15652428,-44617.8687,10
6603,ligand_6603.sdf,-11.34896536,-8.271871347,3.077094015,-44617.72125,11
6604,ligand_6604.sdf,-11.21093342,-8.071129445,3.139803972,-44618.22178,3
6605,ligand_6605.sdf,-11.31460989,-8.16078425,3.153825636,-44618.08321,11
6606,ligand_6606.sdf,-11.20402431,-8.061654436,3.142369876,-44618.21777,4
6607,ligand_6607.sdf,-11.32425509,-8.25525336,3.069001733,-44617.99458,11
6608,ligand_6608.sdf,-11.30977726,-8.165635022,3.144142234,-44618.08315,11
6609,ligand_6609.sdf,-10.58820176,-8.357829504,2.230372253,-44512.63101,6
661,ligand_661.sdf,-10.37339687,-7.520692986,2.852703884,-24937.92724,10
6610,ligand_6610.sdf,-10.49967678,-8.26439469,2.235282092,-44512.67003,8
6611,ligand_6611.sdf,-10.49994362,-8.264870054,2.235073569,-44512.66755,6
6612,ligand_6612.sdf,-10.50643812,-8.331848401,2.174589715,-44512.63744,7
