"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)NCCc1ncccc1F",194.085541192,"Covalent"
"C=CC(=O)N1CC(C)OC(COC)C1",199.120843404,"Covalent"
"C=CC(=O)N[C@H]1C[C@H]1C(F)F",161.065220348,"Covalent"
"C=CC(=O)N1CCC2CSCC2C1",197.0874351,"Covalent"
"C=CC(=O)Nc1cnc2[nH]ccc2c1",187.074561908,"Covalent"
"C=CC(=O)N1[C@H](CO)CCC[C@@H]1CO",199.120843404,"Covalent"
"C=CC(=O)Nc1ccc2cc[nH]c2c1",186.07931294,"Covalent"
"C=CC(=O)N[C@H](CF)c1ccccc1",193.090292224,"Covalent"
"C=CC(=O)NC1CCSC1C",171.071785036,"Covalent"
"C=CC(=O)Nc1ccccc1Cl",181.029441556,"Covalent"
"C=CC(=O)NCCn1cccn1",165.090211972,"Covalent"
"C=CC(=O)NCc1scnc1C",182.05138394,"Covalent"
"C=CC(=O)NC1CC2CCC1O2",167.094628656,"Covalent"
"C=CC(=O)Nc1ccnn1C(C)C",179.105862036,"Covalent"
"C=CC(=O)NC1CCC(=O)N(C)C1",182.105527688,"Covalent"
"C=CC(=O)N1CCC(C)C(OC)C1",183.125928784,"Covalent"
"C=CC(=O)N1CCSC(C(C)C)C1",199.103085164,"Covalent"
"C=CC(=O)NC1(C)CCC(C)CC1",181.146664228,"Covalent"
"C=CC(=O)NC1CC2CCC1CC2",179.131014164,"Covalent"
"C=CC(=O)NC(=O)Nc1ccccc1",190.07422756,"Covalent"
"C=CC(=O)N(C)CCc1ccccc1",189.1153641,"Covalent"
"C=CC(=O)N1C2CCC1C(C(=O)O)C2",195.089543276,"Covalent"
"C=CC(=O)NCc1ccc(C(=O)O)o1",195.053157768,"Covalent"
"C=CC(=O)NCCN1C(=O)CNC1=O",197.080041212,"Covalent"
"C=CC(=O)NC1CS(=O)(=O)C1",175.030314148,"Covalent"
"C=CC(=O)N1CCC(c2ccco2)C1",191.094628656,"Covalent"
"C=CC(=O)NC(C)Cn1cncn1",180.101111004,"Covalent"
"C#CCN(CC1CCCO1)C(=O)C=C",193.11027872,"Covalent"
"C=CC(=O)N1CC2(CCCO2)C1",167.094628656,"Covalent"
"C=CC(=O)NC12CC1COC2(C)C",181.11027872,"Covalent"
"C=CC(=O)NC(C)c1ccns1",182.05138394,"Covalent"
"C=CC(=O)NC1CC2(C1)CC2(F)F",187.080870412,"Covalent"
"C=CC(=O)NCc1c(C)nnn1CC",194.116761068,"Covalent"
"C=CC(=O)N1CC(C2CCOCC2)C1",195.125928784,"Covalent"
"C=CC(=O)N1CCC(C)CC1C(N)=O",196.121177752,"Covalent"
"C=CC(=O)NC1CCCC1C(=O)NC",196.121177752,"Covalent"
"C=CC(=O)NC(CC)C1CCCCO1",197.141578848,"Covalent"
"C=CC(=O)N1C[C@@H](O)CC[C@H]1C",169.11027872,"Covalent"
"C=CC(=O)NCC1(C)CCCCO1",183.125928784,"Covalent"
"C=CC(=O)N(C)Cc1cnn(C)c1C",193.1215121,"Covalent"
"C=CC(=O)NCC1CCOC1C(=C)C",195.125928784,"Covalent"
"C=CC(=O)NC(C)(C)c1cn(C)nn1",194.116761068,"Covalent"
"C=CC(=O)NC1CCCn2nccc21",191.105862036,"Covalent"
"C=CC(=O)N(C)Cc1cncn1C",179.105862036,"Covalent"
"C=CC(=O)NCCC1COCCO1",185.10519334,"Covalent"
"C=CC(=O)NC1CCC2(CCCC2)C1",193.146664228,"Covalent"
"C=CC(=O)N[C@@H]1CCOC[C@H]1O",171.089543276,"Covalent"
"C=CC(=O)NC1CC(CO)(CO)C1",185.10519334,"Covalent"
"C=CC(=O)Nc1csnc1OC",184.030648496,"Covalent"
"C=CC(=O)NCC[C@@H]1CCCC[C@H]1O",197.141578848,"Covalent"
"C=CC(=O)N[C@H]1CCCC[C@H]1O",169.11027872,"Covalent"
"C=CC(=O)NC1CCOC1C",155.094628656,"Covalent"
"C=CC(=O)N(C)c1ccccc1",161.084063972,"Covalent"
"C=CC(=O)NCc1cc(C)no1",166.07422756,"Covalent"
"C=CC(=O)NCC1(C)CCCS1",185.0874351,"Covalent"
"C=CC(=O)NC1COCCOC1",171.089543276,"Covalent"
"C=CC(=O)NC1CCC(C)CC1C",181.146664228,"Covalent"
"C=CC(=O)NC(C)c1cnn(C)c1",179.105862036,"Covalent"
"C=CC(=O)N1CCN(CCC#N)CC1",193.1215121,"Covalent"
"C=CC(=O)NC1CCCCC1C(C)C",195.162314292,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)COC2",189.078978592,"Covalent"
"C=CC(=O)NC1CC(C)(OC)C1(C)C",197.141578848,"Covalent"
"C=CC(=O)N1CCSCC(C)C1",185.0874351,"Covalent"
"C=CC(=O)Nc1ccc(C2CC2)cc1",187.099714036,"Covalent"
"C=CC(=O)NCC1(C(F)F)CC1",175.080870412,"Covalent"
"C=CC(=O)NC1CC(=O)N(C(C)C)C1",196.121177752,"Covalent"
"C=CC(=O)N(CC)Cc1ccoc1",179.094628656,"Covalent"
"C=CC(=O)N1CCN(C(C)=O)CC1C",196.121177752,"Covalent"
"C=CC(=O)NC1COCC1C",155.094628656,"Covalent"
"C=CC(=O)N(C)Cc1cccnn1",177.090211972,"Covalent"
"C=CC(=O)Nc1cncc(OC)c1",178.07422756,"Covalent"
"C=CC(=O)N1C2CCCC1COC2",181.11027872,"Covalent"
"C=CC(=O)Nc1cnn2ccccc12",187.074561908,"Covalent"
"C=CC(=O)NCCc1ccc(F)cn1",194.085541192,"Covalent"
