sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
N#CC=1C=CC=CC1C2=CN(CC(F)CCNC(=O)C=3C=C(C=CC3F)N4CCC(=O)NC4=O)N=N2,Z9302749528,493.467,493.467,-0.209,-4.943,2,6,133.01,8,https://real.enamine.net/public-enum-files/Z9302749528
CC=1C=CC(=CC1C(=O)N2CC[C@H](C2)OCC3=CN(N=N3)C=4C=CC(F)=CN4)N5CCC(=O)NC5=O,Z9302749537,493.491,493.491,-0.202,-4.602,1,7,122.55,6,https://real.enamine.net/public-enum-files/Z9302749537
COC=1C=CC(=CC1OC)CCN2CC(CC2=O)C(=O)NC=3C=C(C=CC3C)N4CCC(=O)NC4=O,Z9302749586,494.541,494.541,0.726,-4.166,2,6,117.28,8,https://real.enamine.net/public-enum-files/Z9302749586
CC=1C(=CC=CC1N2CCC(=O)NC2=O)NC(=O)C3CC(=O)N(C3)C=4C=CC5=C(C4)CC=6C=CC=CC65,Z9302749588,494.542,494.542,2.732,-7.011,2,4,98.82,4,https://real.enamine.net/public-enum-files/Z9302749588
O=C(O)C(F)(F)F.O=C(C(C=1C=CC=C(F)C1)N2CCOCC2)N3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9322330866,608.582,494.559,1.911,-4.799,1,5,82.19,6,https://real.enamine.net/public-enum-files/Z9322330866
CC1=CC(=CC(=C1)C(=O)NC(C)C2=NN=C3C(Cl)=CC(=CN23)C(F)(F)F)N4CCC(=O)NC4=O,Z9302749617,494.855,494.855,1.127,-5.859,2,5,108.7,5,https://real.enamine.net/public-enum-files/Z9302749617
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N3CC(O)(C3)C4=CN(CC5CCCCNC5=O)N=N4,Z9302749635,495.532,495.532,-1.992,-2.853,3,7,149.76,5,https://real.enamine.net/public-enum-files/Z9302749635
CCOC1(CCOC1)C2=CN(CC3(CNC(=O)C=4C=CC(C)=C(C4)N5CCC(=O)NC5=O)CC3)N=N2,Z9302749669,496.56,496.56,-0.536,-3.275,2,7,127.68,9,https://real.enamine.net/public-enum-files/Z9302749669
COC=1C=CC(=C(Cl)C1)C(C)C2=CN(CCNC(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)N=N2,Z9302749679,496.947,496.947,1.45,-4.474,2,6,118.45,8,https://real.enamine.net/public-enum-files/Z9302749679
COCC(C)(O)C1=CN(CC=2N=COC2CNC(=O)C=3C=C(C=CC3C)N4CCC(=O)NC4=O)N=N1,Z9302749689,497.505,497.505,-3.395,-2.536,3,8,164.71,9,https://real.enamine.net/public-enum-files/Z9302749689
